Date,Open,High,Low,Close,Adj Close,Volume
2/12/2010,0.420781,0.438073,0.418333,0.434323,0.431001,8601600
2/16/2010,0.444531,0.452188,0.437552,0.451146,0.447695,9619200
2/17/2010,0.457188,0.458906,0.450313,0.458802,0.455293,19180800
2/18/2010,0.458333,0.47026,0.455573,0.4675,0.463924,38860800
2/19/2010,0.464323,0.473594,0.460781,0.4675,0.463924,46483200
2/22/2010,0.473021,0.473021,0.458958,0.464219,0.460668,25497600
2/23/2010,0.461667,0.464167,0.439948,0.446094,0.442682,41126400
2/24/2010,0.453958,0.464844,0.45151,0.459583,0.456068,35308800
2/25/2010,0.444896,0.462448,0.43599,0.459323,0.45581,45619200
2/26/2010,0.457969,0.466979,0.453438,0.465052,0.461495,28800000
3/1/2010,0.470938,0.486979,0.470938,0.485,0.48129,14227200
3/2/2010,0.489271,0.498438,0.486615,0.487917,0.484185,24211200
3/3/2010,0.493385,0.497656,0.485885,0.490625,0.486872,23980800
3/4/2010,0.492344,0.496719,0.484688,0.496042,0.492248,14726400
3/5/2010,0.506615,0.52026,0.503906,0.517969,0.514007,13440000
3/8/2010,0.518438,0.524479,0.518438,0.520729,0.516746,12672000
3/9/2010,0.517865,0.538073,0.517448,0.529948,0.525894,23212800
3/10/2010,0.530677,0.546146,0.530313,0.542917,0.538764,20044800
3/11/2010,0.539635,0.548698,0.536042,0.547917,0.543726,26956800
3/12/2010,0.553958,0.553958,0.542865,0.549167,0.544966,18067200
3/15/2010,0.545521,0.549219,0.533854,0.545469,0.541297,21196800
3/16/2010,0.550833,0.557344,0.545104,0.555781,0.55153,23289600
3/17/2010,0.557344,0.567552,0.555,0.559635,0.555354,19910400
3/18/2010,0.561563,0.567083,0.557865,0.565313,0.560989,26092800
3/19/2010,0.555313,0.57151,0.549375,0.555313,0.551065,20025600
3/22/2010,0.548802,0.576979,0.546719,0.570313,0.565951,29395200
3/23/2010,0.574219,0.58349,0.565313,0.58224,0.577786,27667200
3/24/2010,0.578125,0.579375,0.570313,0.573958,0.569568,44620800
3/25/2010,0.587969,0.594115,0.569896,0.570365,0.566002,46963200
3/26/2010,0.57849,0.584323,0.564323,0.573333,0.568947,42144000
3/29/2010,0.581979,0.587135,0.576927,0.581198,0.576752,19027200
3/30/2010,0.58599,0.592344,0.575365,0.587292,0.5828,19948800
3/31/2010,0.580729,0.588542,0.575365,0.579375,0.574943,29779200
4/1/2010,0.585833,0.597031,0.56526,0.578229,0.573806,58310400
4/5/2010,0.582448,0.598438,0.578125,0.594948,0.590397,33792000
4/6/2010,0.590417,0.604896,0.586667,0.599479,0.594893,29356800
4/7/2010,0.597448,0.603958,0.585677,0.596094,0.591534,53126400
4/8/2010,0.590052,0.601719,0.581042,0.598229,0.593653,34828800
4/9/2010,0.600208,0.610469,0.595573,0.60901,0.604351,29049600
4/12/2010,0.611094,0.616146,0.607083,0.611458,0.606781,24403200
4/13/2010,0.609479,0.621667,0.603958,0.620677,0.615929,33619200
